y_pred_svm,y_pred_nb,y_test_svm,y_test_nb
neutral,happiness,neutral,happiness
sadness,worry,worry,worry
worry,worry,worry,hate
neutral,neutral,sadness,neutral
neutral,happiness,surprise,happiness
worry,love,happiness,worry
neutral,worry,love,love
love,happiness,surprise,happiness
worry,worry,neutral,worry
hate,worry,sadness,neutral
worry,worry,worry,love
neutral,neutral,worry,neutral
worry,worry,neutral,sadness
sadness,worry,neutral,love
neutral,neutral,neutral,fun
neutral,worry,happiness,sadness
neutral,neutral,sadness,happiness
neutral,neutral,neutral,worry
neutral,worry,neutral,worry
worry,worry,worry,worry
worry,neutral,hate,hate
worry,worry,surprise,neutral
love,worry,love,love
neutral,neutral,neutral,worry
happiness,neutral,happiness,neutral
happiness,worry,happiness,worry
worry,neutral,enthusiasm,surprise
neutral,neutral,love,sadness
love,worry,love,surprise
neutral,neutral,neutral,neutral
neutral,neutral,neutral,fun
sadness,worry,worry,neutral
neutral,worry,sadness,neutral
neutral,worry,neutral,sadness
neutral,neutral,sadness,relief
worry,worry,surprise,happiness
love,neutral,neutral,worry
neutral,neutral,neutral,neutral
worry,neutral,worry,neutral
neutral,sadness,happiness,neutral
happiness,neutral,happiness,fun
worry,worry,worry,worry
love,worry,love,sadness
worry,love,worry,love
worry,worry,happiness,neutral
happiness,happiness,surprise,neutral
sadness,neutral,sadness,worry
neutral,neutral,love,worry
neutral,worry,neutral,sadness
neutral,worry,neutral,worry
neutral,worry,worry,neutral
love,happiness,love,love
neutral,neutral,neutral,happiness
worry,neutral,worry,neutral
worry,happiness,love,worry
neutral,neutral,love,neutral
happiness,worry,love,worry
neutral,sadness,neutral,sadness
worry,worry,hate,love
relief,love,happiness,love
worry,worry,worry,worry
love,sadness,love,sadness
worry,happiness,neutral,love
happiness,worry,happiness,happiness
happiness,neutral,fun,surprise
worry,love,neutral,love
worry,worry,sadness,worry
happiness,worry,happiness,worry
happiness,worry,happiness,sadness
love,neutral,love,worry
happiness,worry,happiness,worry
worry,worry,surprise,happiness
worry,neutral,neutral,fun
neutral,neutral,worry,neutral
worry,worry,happiness,neutral
happiness,worry,happiness,worry
neutral,worry,sadness,worry
worry,neutral,worry,enthusiasm
worry,love,love,love
worry,sadness,fun,hate
worry,neutral,neutral,worry
worry,happiness,relief,happiness
happiness,happiness,happiness,worry
worry,worry,neutral,neutral
worry,worry,worry,worry
neutral,neutral,neutral,neutral
sadness,worry,hate,worry
neutral,love,sadness,love
neutral,worry,worry,sadness
neutral,worry,relief,sadness
love,neutral,love,neutral
neutral,worry,neutral,neutral
neutral,neutral,love,enthusiasm
sadness,worry,sadness,love
neutral,neutral,neutral,worry
neutral,neutral,love,neutral
surprise,neutral,happiness,neutral
love,neutral,happiness,neutral
worry,worry,neutral,worry
neutral,love,happiness,love
happiness,neutral,happiness,neutral
neutral,happiness,worry,neutral
happiness,neutral,happiness,worry
neutral,worry,neutral,surprise
neutral,neutral,neutral,fun
neutral,neutral,worry,love
sadness,neutral,neutral,happiness
happiness,happiness,love,worry
happiness,worry,happiness,hate
worry,neutral,surprise,neutral
neutral,happiness,neutral,fun
neutral,neutral,neutral,worry
sadness,sadness,worry,sadness
happiness,neutral,neutral,neutral
worry,worry,worry,sadness
neutral,neutral,worry,happiness
neutral,neutral,happiness,worry
worry,worry,neutral,worry
neutral,worry,surprise,neutral
neutral,neutral,neutral,worry
neutral,neutral,love,neutral
neutral,neutral,worry,happiness
love,worry,worry,hate
love,worry,happiness,neutral
worry,worry,sadness,sadness
worry,neutral,happiness,neutral
worry,happiness,worry,relief
worry,neutral,worry,neutral
worry,sadness,worry,neutral
neutral,worry,happiness,hate
neutral,neutral,happiness,worry
neutral,worry,relief,hate
neutral,worry,enthusiasm,neutral
worry,neutral,worry,happiness
sadness,neutral,worry,worry
sadness,sadness,worry,sadness
happiness,neutral,neutral,worry
worry,worry,neutral,hate
neutral,worry,worry,neutral
sadness,neutral,worry,happiness
neutral,neutral,sadness,happiness
worry,worry,surprise,relief
worry,neutral,neutral,love
worry,worry,empty,sadness
worry,happiness,worry,happiness
neutral,neutral,worry,worry
neutral,neutral,neutral,neutral
worry,neutral,sadness,neutral
worry,worry,worry,surprise
neutral,sadness,neutral,surprise
happiness,neutral,love,worry
sadness,neutral,hate,surprise
worry,happiness,worry,worry
worry,worry,worry,worry
neutral,neutral,neutral,worry
happiness,happiness,enthusiasm,relief
neutral,worry,neutral,relief
worry,neutral,surprise,surprise
neutral,sadness,neutral,worry
sadness,neutral,sadness,love
happiness,worry,happiness,happiness
neutral,neutral,neutral,enthusiasm
empty,neutral,empty,fun
worry,worry,worry,worry
worry,neutral,neutral,happiness
neutral,neutral,worry,sadness
happiness,neutral,fun,worry
worry,neutral,anger,neutral
worry,worry,worry,relief
worry,worry,sadness,sadness
neutral,neutral,neutral,relief
happiness,neutral,enthusiasm,happiness
happiness,worry,love,worry
worry,worry,worry,happiness
neutral,worry,worry,worry
neutral,neutral,love,neutral
worry,neutral,sadness,neutral
worry,neutral,worry,worry
happiness,happiness,happiness,happiness
neutral,worry,worry,worry
happiness,neutral,happiness,happiness
neutral,neutral,neutral,neutral
worry,happiness,sadness,happiness
neutral,worry,happiness,neutral
neutral,neutral,worry,neutral
worry,neutral,happiness,worry
neutral,worry,worry,neutral
neutral,neutral,neutral,happiness
happiness,worry,love,sadness
worry,neutral,worry,neutral
neutral,worry,neutral,fun
sadness,worry,anger,sadness
worry,neutral,sadness,sadness
worry,worry,love,happiness
neutral,worry,neutral,surprise
worry,worry,neutral,happiness
neutral,worry,happiness,worry
worry,worry,love,happiness
neutral,worry,love,fun
worry,happiness,worry,relief
happiness,happiness,neutral,happiness
worry,worry,happiness,worry
worry,neutral,worry,neutral
neutral,neutral,happiness,worry
worry,neutral,neutral,sadness
worry,worry,worry,worry
neutral,worry,neutral,worry
neutral,worry,neutral,empty
worry,neutral,worry,worry
worry,worry,worry,sadness
worry,worry,fun,worry
happiness,neutral,happiness,worry
neutral,worry,happiness,hate
worry,neutral,neutral,neutral
neutral,neutral,love,relief
happiness,happiness,neutral,relief
worry,neutral,sadness,neutral
happiness,love,neutral,love
worry,love,worry,happiness
happiness,love,fun,love
neutral,worry,fun,love
worry,worry,worry,happiness
worry,neutral,happiness,neutral
happiness,happiness,happiness,happiness
worry,worry,worry,sadness
love,worry,love,neutral
sadness,worry,sadness,enthusiasm
neutral,neutral,worry,worry
worry,neutral,sadness,neutral
neutral,worry,love,worry
worry,neutral,hate,enthusiasm
neutral,neutral,love,empty
neutral,neutral,neutral,happiness
neutral,neutral,happiness,happiness
neutral,happiness,empty,happiness
neutral,sadness,worry,sadness
neutral,neutral,worry,surprise
love,worry,worry,worry
worry,happiness,worry,happiness
neutral,worry,neutral,fun
worry,neutral,worry,worry
happiness,worry,love,surprise
worry,neutral,worry,happiness
worry,happiness,happiness,enthusiasm
neutral,happiness,sadness,neutral
worry,happiness,enthusiasm,fun
worry,worry,sadness,happiness
worry,neutral,surprise,relief
happiness,neutral,happiness,relief
worry,neutral,worry,worry
neutral,happiness,enthusiasm,happiness
worry,sadness,sadness,sadness
happiness,worry,happiness,happiness
neutral,sadness,neutral,fun
neutral,worry,surprise,sadness
neutral,worry,happiness,sadness
love,neutral,love,worry
happiness,happiness,love,happiness
neutral,neutral,relief,neutral
neutral,neutral,relief,sadness
happiness,neutral,relief,sadness
happiness,neutral,enthusiasm,neutral
happiness,worry,happiness,sadness
neutral,worry,neutral,neutral
hate,worry,sadness,surprise
neutral,happiness,neutral,happiness
happiness,neutral,happiness,love
